"id","date","date_value"
"asc_1b539e","2018-12-19","-7.469851"
"asc_1b539e","2018-12-31","-8.318963"
"asc_1b539e","2019-01-12","-6.750999"
"asc_1b539e","2019-01-24","-16.95089"
"asc_1b539e","2019-02-05","-6.436866"
"asc_1b539e","2019-02-17","-6.002831"
"asc_1b539e","2019-03-01","-5.364393"
"asc_1b539e","2019-03-13","-6.017345"
"asc_1b539e","2019-03-25","-4.52089"
"asc_1b539e","2019-04-06","-7.077262"
"asc_1b539e","2019-04-18","-9.596292"
"asc_1b539e","2019-04-30","-13.80186"
"asc_1b539e","2019-05-12","-5.677004"
"asc_1b539e","2019-06-05","-2.331064"
"asc_1b539e","2019-06-17","0.7219981"
"asc_1b539e","2019-06-29","-0.7175035"
"asc_1b539e","2019-07-11","-3.88261"
"asc_1b539e","2019-07-23","-11.39588"
"asc_1b539e","2019-08-04","1.659423"
"asc_1b539e","2019-08-16","-1.767788"
"asc_1b539e","2019-08-28","-6.827301"
"asc_1b539e","2016-12-05","1.655086"
"asc_1b539e","2016-12-11","7.335119"
"asc_1b539e","2016-12-17","3.067795"
"asc_1b539e","2016-12-23","1.467376"
"asc_1b539e","2016-12-29","7.272317"
"asc_1b539e","2017-01-04","4.114951"
"asc_1b539e","2017-01-10","-0.6488791"
"asc_1b539e","2017-01-16","4.176354"
"asc_1b539e","2017-01-22","7.918287"
"asc_1b539e","2017-01-28","4.265219"
"asc_1b539e","2017-02-03","-2.22813"
"asc_1b539e","2017-02-09","5.328869"
"asc_1b539e","2017-02-15","3.993857"
"asc_1b539e","2017-02-21","3.55115"
"asc_1b539e","2017-02-27","-0.002001351"
"asc_1b539e","2017-03-05","4.022531"
"asc_1b539e","2017-03-11","5.185211"
"asc_1b539e","2017-03-17","3.542629"
"asc_1b539e","2017-03-23","0.1168404"
"asc_1b539e","2017-03-29","6.525188"
"asc_1b539e","2017-04-04","-0.1918483"
"asc_1b539e","2017-04-10","8.338767"
"asc_1b539e","2017-04-16","10.58268"
"asc_1b539e","2017-04-22","6.311224"
"asc_1b539e","2017-04-28","2.698067"
"asc_1b539e","2017-05-04","5.073731"
"asc_1b539e","2017-05-10","2.124397"
"asc_1b539e","2017-05-16","4.263075"
"asc_1b539e","2017-05-22","7.201695"
"asc_1b539e","2017-06-03","3.435947"
"asc_1b539e","2017-06-15","8.270292"
"asc_1b539e","2017-06-27","7.71753"
"asc_1b539e","2017-07-09","7.446216"
"asc_1b539e","2017-07-21","4.942963"
"asc_1b539e","2017-08-02","-18.66417"
"asc_1b539e","2017-08-14","-7.115941"
"asc_1b539e","2017-08-26","2.695867"
"asc_1b539e","2017-09-07","5.190459"
"asc_1b539e","2017-09-19","6.279754"
"asc_1b539e","2017-10-13","5.027555"
"asc_1b539e","2017-10-25","6.12328"
"asc_1b539e","2017-11-06","1.140401"
"asc_1b539e","2017-11-18","0.7019399"
"asc_1b539e","2017-11-30","14.7786"
"asc_1b539e","2017-12-12","1.209766"
"asc_1b539e","2017-12-24","3.381748"
"asc_1b539e","2018-01-05","11.35396"
"asc_1b539e","2018-01-17","2.230067"
"asc_1b539e","2018-01-29","2.582464"
"asc_1b539e","2018-02-10","2.489766"
"asc_1b539e","2018-02-22","5.231857"
"asc_1b539e","2018-03-18","6.531368"
"asc_1b539e","2018-03-30","3.347094"
"asc_1b539e","2018-04-11","-0.1997038"
"asc_1b539e","2018-04-23","2.911235"
"asc_1b539e","2018-05-05","3.789681"
"asc_1b539e","2018-05-17","2.862702"
"asc_1b539e","2018-05-29","-7.753877"
"asc_1b539e","2018-06-10","2.990582"
"asc_1b539e","2018-06-22","-6.048177"
"asc_1b539e","2018-07-04","-8.495688"
"asc_1b539e","2018-07-16","-8.430407"
"asc_1b539e","2018-07-28","-7.201248"
"asc_1b539e","2018-08-09","-7.626768"
"asc_1b539e","2018-08-21","-5.080652"
"asc_1b539e","2018-09-02","1.93497"
"asc_1b539e","2018-09-14","-3.796891"
"asc_1b539e","2018-09-26","-10.01415"
"asc_1b539e","2018-10-08","-0.1722772"
"asc_1b539e","2018-10-20","-12.11018"
"asc_1b539e","2018-11-01","-4.291588"
"asc_1b539e","2018-11-13","-5.690216"
"asc_1b539e","2018-11-25","-11.21836"
"asc_1b539e","2018-12-07","-2.508595"
"asc_1b539e","2019-09-09","-0.8830068"
"asc_1b539e","2019-09-21","-8.034422"
"asc_1b539e","2019-10-03","-4.416359"
"asc_1b539e","2019-10-15","-5.734517"
"asc_1b539e","2019-10-27","-6.604375"
"asc_1b539e","2019-11-08","2.958809"
"asc_1b539e","2019-11-20","-11.10117"
"asc_3b1418","2016-12-05","-1.763129"
"asc_3b1418","2019-05-12","-4.145907"
"asc_3b1418","2019-06-05","-8.117192"
"asc_3b1418","2019-06-17","0.2577954"
"asc_3b1418","2019-06-29","0.9640075"
"asc_3b1418","2019-07-11","-1.352731"
"asc_3b1418","2019-07-23","0.3061698"
"asc_3b1418","2019-08-04","0.1529108"
"asc_3b1418","2019-08-16","0.3257018"
"asc_3b1418","2019-08-28","-0.219809"
"asc_3b1418","2019-09-09","-1.062027"
"asc_3b1418","2019-09-21","-4.296136"
"asc_3b1418","2019-10-03","-3.454987"
"asc_3b1418","2019-10-15","-3.319651"
"asc_3b1418","2019-10-27","-1.653494"
"asc_3b1418","2019-11-08","9.602817"
"asc_3b1418","2019-11-20","0.03741585"
"asc_3b1418","2016-12-11","4.798009"
"asc_3b1418","2016-12-17","3.928945"
"asc_3b1418","2016-12-23","6.638178"
"asc_3b1418","2016-12-29","4.304763"
"asc_3b1418","2017-01-04","0.5213823"
"asc_3b1418","2017-01-10","-3.053752"
"asc_3b1418","2017-01-16","3.146399"
"asc_3b1418","2017-01-22","7.207661"
"asc_3b1418","2017-01-28","3.604095"
"asc_3b1418","2017-02-03","3.198879"
"asc_3b1418","2017-02-09","3.661116"
"asc_3b1418","2017-02-15","-1.060906"
"asc_3b1418","2017-02-21","7.14923"
