point,velocity
0,-15.73959615462642
1,-15.0841975893713
2,-16.43204255533259
3,-16.207683219759378
4,-16.906227302792637
5,-16.34213978039468
6,-12.757477776327184
7,-15.492056637397981
8,-17.629648417951998
9,-19.10011405917191
10,-20.190371286015047
11,-19.703183603175813
12,-17.61786717774493
13,-16.481206390225967
14,-21.16683834725363
15,-17.237579574047142
16,-16.08867089983099
17,-16.27634691739672
18,-14.232882270526124
19,-20.920964653352254
20,-21.47204012212645
21,-20.703817915665216
22,-16.98073044349258
23,-17.59098764555831
24,-18.200831161289702
25,-16.313994349963114
26,-19.941788076741467
27,-19.84634150230775
28,-20.536436579946486
29,-19.287023572497894
30,-19.464239629618707
31,-17.012639083509658
32,-15.48369855804278
33,-16.62485908584633
34,-18.46824433317231
35,-19.349723129836196
36,-20.043982886803484
37,-16.749643532528072
38,-18.22581214960519
39,-13.536127462912786
40,-14.437829502305725
41,-16.016505933395205
42,-16.62793818857051
43,-19.379084950261543
44,-17.986397309524474
45,-11.282646635697299
46,-11.685880288179373
47,-11.854922912876786
48,-14.390766691491757
49,-17.528144229452597
50,-9.975389449254198
51,-10.952283543232094
52,-11.600096661557593
53,-14.50663595960427
54,-14.746946058361186
55,-17.942496357256154
56,-18.134303312413085
57,-8.911451386732534
58,-11.323773507800025
59,-15.423082051722105
60,-15.357459737319493
61,-16.050981528659182
62,-16.987364718800038
63,-12.748412235291749
64,-13.583568219888715
65,-13.576299218692279
66,-15.304393458777033
67,-18.444559864126624
68,-19.127746717415395
69,-12.019289489083267
70,-12.626921058772245
71,-14.800236984078511
72,-17.205349852146536
73,-19.1705599020661
74,-19.34022292081477
75,-18.484091380944992
76,-17.66880783660797
77,-12.187207412458674
78,-14.538449578544308
79,-16.78312518213908
80,-18.102949044780352
81,-17.713449093713603
82,-18.9490539532023
83,-20.491213446417166
84,-15.934682047575388
85,-17.28638350966858
86,-18.2334827537783
87,-19.949483177664877
88,-19.554236026760357
89,-19.580858971617978
90,-14.330711765397943
91,-17.3132654217432
92,-16.12124297260633
93,-15.537385056103288
94,-16.19499092862612
95,-16.032455406563525
96,-17.862237530702735
97,-15.574790894858523
98,-15.533371201738582
99,-14.922973298893375
100,-15.842017657530823
101,-16.92891861684502
102,-17.237663784300665
103,-15.631614787775478
104,-15.356673932039751
105,-16.248083294114448
106,-16.31539474086135
107,-16.935305848459254
108,-16.86982579773253
109,-16.293138624107947
110,-14.592286165441873
111,-13.640169102840094
112,-16.151350270124638
113,-16.931495524015528
114,-16.123513032725885
115,-15.225427332356087
116,-15.188999407485309
117,-15.194719896215252
118,-15.859256174930083
119,-16.05691411405538
120,-16.960616720100283
121,-17.881324878135974
122,-17.590194936203833
123,-17.092379849658897
124,-15.932276837628162
125,-15.128943197537447
126,-16.971783371684772
127,-16.917526284640214
128,-16.08979520836026
129,-15.629922460774543
130,-14.847087942077854
